story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,color_family
Painterly Pattern,,Brazillian Sand,,,Statement,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_ECRU,
Party Wear,,Brick Red,,,Stencil,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_GREY BY WHITE,
Placement Print,,Bright Aqua,,,Still Life,,,,,,,,,,,,,,,,,,,,,3/1RGD_1075_SBIT,
Plain,,Bright Blue,,,Striped,,,,,,,,,,,,,,,,,,,,,3/1_CPL_1150_DARK INDIGO BY BLACK,
Playful Knits,,Bright Green,,,Tartan Checks,,,,,,,,,,,,,,,,,,,,,30X150_CP_55_BLACK BY WHITE,
Playful Textured,,Bright Orange,,,Textured,,,,,,,,,,,,,,,,,,,,,30X150_CP_55_DARK INDIGO,
Power Pastels,,Bright Pink,,,Tie Dye,,,,,,,,,,,,,,,,,,,,,4/1CL_850_DEEP INDIGO,
Pretty Feminine,,Bright Red,,,Tribal,,,,,,,,,,,,,,,,,,,,,4/1CPL_8_DARK INDIGO,
Psychedelic,,Bright Rose,,,Tropical,,,,,,,,,,,,,,,,,,,,,4/1CPL_925_DARK INDIGO,
Reflective Print,,Bright White,,,Two Tone,,,,,,,,,,,,,,,,,,,,,,
Resort,,Bright Yellow,,,Typographic,,,,,,,,,,,,,,,,,,,,,,
Retro,,Brindle,,,Vertical Stripes,,,,,,,,,,,,,,,,,,,,,,
Satin Print,,Bronze Brown,,,Vintage,,,,,,,,,,,,,,,,,,,,,,
Serene Futurism,,Brown,,,Windowpane Checks,,,,,,,,,,,,,,,,,,,,,,
Sports,,Brown Camo,,,,,,,,,,,,,,,,,,,,,,,,,
Statement Zipper,,Brown Checks,,,,,,,,,,,,,,,,,,,,,,,,,
Street,,Brown Navy,,,,,,,,,,,,,,,,,,,,,,,,,
Street Dapper,,Brown Print,,,,,,,,,,,,,,,,,,,,,,,,,
Striped,,Bubblegum Pink,,,,,,,,,,,,,,,,,,,,,,,,,
Surrealism,,Burgundy,,,,,,,,,,,,,,,,,,,,,,,,,
The Indian Story,,Burgundy Melange,,,,,,,,,,,,,,,,,,,,,,,,,
The Sporty,,Burnt Orange,,,,,,,,,,,,,,,,,,,,,,,,,
The Street Dapper,,Burnt Red,,,,,,,,,,,,,,,,,,,,,,,,,
The Superwide Smart Trousers,,Burnt Red Camo,,,,,,,,,,,,,,,,,,,,,,,,,
The Workwear Jean,,Buttercream,,,,,,,,,,,,,,,,,,,,,,,,,
Travel,,Butterscotch,,,,,,,,,,,,,,,,,,,,,,,,,
Upbeat Resort,,Butterscotch Brown,,,,,,,,,,,,,,,,,,,,,,,,,
Updated Dyed,,Camel,,,,,,,,,,,,,,,,,,,,,,,,,
Utility,,Camo,,,,,,,,,,,,,,,,,,,,,,,,,
Varsity,,Candy Pink,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage,,Candy orange,,,,,,,,,,,,,,,,,,,,,,,,,
Zip-Off Cargo,,Cannoli Cream,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cappucino Foam,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carambola,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caramel,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cardinal,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cashew,,,,,,,,,,,,,,,,,,,,,,,,,
